State, UserThread8362, User Thread State, 6717.673460, 6717.674198, 0.000738, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.674855, 6717.675589, 0.000734, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.677170, 6717.678104, 0.000934, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.678862, 6717.679725, 0.000863, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.681149, 6717.681972, 0.000823, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.682508, 6717.683165, 0.000657, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.684268, 6717.685004, 0.000736, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.685561, 6717.686242, 0.000681, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.687251, 6717.687997, 0.000746, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.688503, 6717.689164, 0.000661, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.690116, 6717.690853, 0.000737, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.691362, 6717.692020, 0.000658, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.693063, 6717.693808, 0.000745, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.694364, 6717.695021, 0.000657, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.696094, 6717.696828, 0.000734, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.697352, 6717.698011, 0.000659, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.699112, 6717.699848, 0.000736, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.700397, 6717.701058, 0.000661, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.701967, 6717.702697, 0.000730, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.704373, 6717.705032, 0.000659, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.706238, 6717.706975, 0.000737, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.731471, 6717.732217, 0.000746, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.733986, 6717.734729, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.760466, 6717.761374, 0.000908, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.763464, 6717.764205, 0.000741, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.788427, 6717.789174, 0.000747, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.790831, 6717.791572, 0.000741, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.816359, 6717.817142, 0.000783, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.819022, 6717.819836, 0.000814, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.844483, 6717.845219, 0.000736, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.846573, 6717.847317, 0.000744, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.872654, 6717.873417, 0.000763, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.875331, 6717.876068, 0.000737, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.900805, 6717.901703, 0.000898, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.903752, 6717.904512, 0.000760, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.976766, 6717.979292, 0.002526, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6717.983290, 6717.984342, 0.001052, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.011766, 6718.012669, 0.000903, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.015090, 6718.015864, 0.000774, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.017644, 6718.019406, 0.001762, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.020775, 6718.021528, 0.000753, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.022056, 6718.022721, 0.000665, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.023991, 6718.025067, 0.001076, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.025703, 6718.026363, 0.000660, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.028029, 6718.028943, 0.000914, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.029730, 6718.030611, 0.000881, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.032391, 6718.033370, 0.000979, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.034143, 6718.034883, 0.000740, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.074337, 6718.075159, 0.000822, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.075380, 6718.075650, 0.000270, 0.000000, Waiting task
State, UserThread8362, User Thread State, 6718.091950, 6718.093865, 0.001915, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.094283, 6718.095252, 0.000969, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.101400, 6718.102408, 0.001008, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.102703, 6718.103601, 0.000898, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.538774, 6718.574329, 0.035555, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.574942, 6718.941779, 0.366837, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.944214, 6718.961352, 0.017138, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.962159, 6718.977051, 0.014892, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.978513, 6718.993700, 0.015187, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6718.994287, 6719.011206, 0.016919, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.012173, 6719.031353, 0.019180, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.032003, 6719.047379, 0.015376, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.047806, 6719.071290, 0.023484, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.072292, 6719.095548, 0.023256, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.097094, 6719.131649, 0.034555, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.135274, 6719.179132, 0.043858, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.180503, 6719.196526, 0.016023, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.198118, 6719.216018, 0.017900, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.217742, 6719.246166, 0.028424, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.250055, 6719.280823, 0.030768, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.282447, 6719.309836, 0.027389, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.311418, 6719.326582, 0.015164, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.328874, 6719.345207, 0.016333, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.346033, 6719.367085, 0.021052, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.367936, 6719.382695, 0.014759, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.383533, 6719.404483, 0.020950, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.405426, 6719.418054, 0.012628, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.418965, 6719.431505, 0.012540, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.432178, 6719.445629, 0.013451, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.446335, 6719.459559, 0.013224, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.460485, 6719.473147, 0.012662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.473768, 6719.486166, 0.012398, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.487003, 6719.505678, 0.018675, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.506335, 6719.517878, 0.011543, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.518570, 6719.530804, 0.012234, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.531620, 6719.543517, 0.011897, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.544129, 6719.556086, 0.011957, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.557076, 6719.573102, 0.016026, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.573998, 6719.585316, 0.011318, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.585778, 6719.595539, 0.009761, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.596030, 6719.605589, 0.009559, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.606010, 6719.615532, 0.009522, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.616274, 6719.625802, 0.009528, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.626223, 6719.635770, 0.009547, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.636612, 6719.646263, 0.009651, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.647503, 6719.657200, 0.009697, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.658117, 6719.667806, 0.009689, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.668282, 6719.677965, 0.009683, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.678394, 6719.688169, 0.009775, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.689155, 6719.698789, 0.009634, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.699255, 6719.708897, 0.009642, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.716082, 6719.726247, 0.010165, 0.000000, Submittings task
State, UserThread8362, User Thread State, 6719.726808, 11039.115554, 4319.388746, 0.000000, Waiting all tasks
State, UserThread8362, User Thread State, 11039.147053, 11039.150335, 0.003282, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.150503, 11039.151425, 0.000922, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.152496, 11039.153202, 0.000706, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.159861, 11039.160718, 0.000857, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.160923, 11039.161213, 0.000290, 0.000000, Waiting task
State, UserThread8362, User Thread State, 11039.164325, 11039.165147, 0.000822, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.204763, 11039.205659, 0.000896, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.209257, 11039.210230, 0.000973, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.241765, 11039.242609, 0.000844, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.246184, 11039.247176, 0.000992, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.276579, 11039.277543, 0.000964, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.279863, 11039.280682, 0.000819, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.310239, 11039.310996, 0.000757, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.313905, 11039.314649, 0.000744, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.342828, 11039.343596, 0.000768, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.346710, 11039.347458, 0.000748, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.378852, 11039.379537, 0.000685, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.382136, 11039.382952, 0.000816, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.411460, 11039.412226, 0.000766, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.414642, 11039.415384, 0.000742, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.443581, 11039.444324, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.447566, 11039.448317, 0.000751, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.448868, 11039.449548, 0.000680, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.452335, 11039.453169, 0.000834, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.453887, 11039.454544, 0.000657, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.455967, 11039.456706, 0.000739, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.457216, 11039.457875, 0.000659, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.459298, 11039.460050, 0.000752, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.460558, 11039.461222, 0.000664, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.462815, 11039.463564, 0.000749, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.464081, 11039.464747, 0.000666, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.466366, 11039.467172, 0.000806, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.467980, 11039.468650, 0.000670, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.470199, 11039.470934, 0.000735, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.471453, 11039.472118, 0.000665, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.473797, 11039.474725, 0.000928, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.475525, 11039.476723, 0.001198, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.479400, 11039.480293, 0.000893, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.481246, 11039.481920, 0.000674, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.483596, 11039.484339, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.484852, 11039.485506, 0.000654, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.487515, 11039.488256, 0.000741, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.488774, 11039.489427, 0.000653, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.491327, 11039.492120, 0.000793, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.492905, 11039.493562, 0.000657, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.495100, 11039.495837, 0.000737, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.496353, 11039.497023, 0.000670, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.498638, 11039.499369, 0.000731, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.499880, 11039.500552, 0.000672, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.501884, 11039.502624, 0.000740, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.503240, 11039.503906, 0.000666, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.505480, 11039.506212, 0.000732, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.506830, 11039.507491, 0.000661, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.509040, 11039.509859, 0.000819, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.510595, 11039.511511, 0.000916, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.513276, 11039.514093, 0.000817, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.515603, 11039.516265, 0.000662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.518044, 11039.518780, 0.000736, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.519297, 11039.519962, 0.000665, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.521541, 11039.522288, 0.000747, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.522803, 11039.523456, 0.000653, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.525699, 11039.526448, 0.000749, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.527012, 11039.527665, 0.000653, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.528648, 11039.529394, 0.000746, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.529910, 11039.530572, 0.000662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.531533, 11039.532270, 0.000737, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.532787, 11039.533445, 0.000658, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.534616, 11039.535351, 0.000735, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.536208, 11039.536870, 0.000662, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.538437, 11039.539175, 0.000738, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.539717, 11039.540382, 0.000665, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.542471, 11039.543201, 0.000730, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.543726, 11039.544386, 0.000660, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.545400, 11039.546130, 0.000730, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.576069, 11039.576809, 0.000740, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.578857, 11039.579600, 0.000743, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.608022, 11039.608841, 0.000819, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.610647, 11039.611389, 0.000742, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.638966, 11039.639728, 0.000762, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.641474, 11039.642206, 0.000732, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.669860, 11039.670966, 0.001106, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.672793, 11039.673527, 0.000734, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.702355, 11039.703034, 0.000679, 0.000000, Submittings task
State, UserThread8362, User Thread State, 11039.704444, 11039.705183, 0.000739, 0.000000, Submittings task
