BENCH;backend;size;block_size;iterations;thread;gpus;time
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;24;1;13.53462219
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;1;30.57262600
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;2;6.34019804
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;1;22.13594000
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;1;5.84922314
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;4;4.04136515
nbody;PARALLEL_BACK_STARPU;65536;2048;5;23;2;7.35852000
nbody;PARALLEL_BACK_STARPU;131072;2048;5;27;1;30.95338000
nbody;PARALLEL_BACK_STARPU;65536;2048;5;22;1;8.37432000
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;23;1;16.17043114
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;2;16.09835100
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;23;4;4.02604580
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;25;3;9.61021996
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;2;11.70177364
nbody;PARALLEL_BACK_STARPU;131072;2048;5;24;3;23.71729500
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;3;10.19166470
nbody;PARALLEL_BACK_STARPU;65536;2048;5;25;1;7.24555400
nbody;PARALLEL_BACK_STARPU;131072;2048;5;22;4;18.82433700
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;24;3;6.69723511
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;1;22.17530400
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;25;1;15.99412346
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;3;3.97725201
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;23;1;10.92992783
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;1;8.45915127
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;1;8.43028164
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;1;22.84351500
nbody;PARALLEL_BACK_STARPU;114688;2048;5;22;3;17.12365000
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;3;17.44541000
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;24;3;5.17520523
nbody;PARALLEL_BACK_STARPU;114688;2048;5;24;2;26.26387400
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;27;1;16.14713478
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;1;23.48645800
nbody;PARALLEL_BACK_STARPU;81920;2048;5;23;3;9.05323400
nbody;PARALLEL_BACK_STARPU;131072;2048;5;23;2;31.44659200
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;2;27.07502700
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;3;7.53174700
nbody;PARALLEL_BACK_STARPU;131072;2048;5;27;1;31.39392800
nbody;PARALLEL_BACK_STARPU;65536;2048;5;24;4;6.83238700
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;22;4;3.81235409
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;22;3;10.47946262
nbody;PARALLEL_BACK_STARPU;98304;2048;5;24;2;16.18489300
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;23;3;5.28206205
nbody;PARALLEL_BACK_STARPU;114688;2048;5;25;2;25.03712200
nbody;PARALLEL_BACK_STARPU;131072;2048;5;25;1;31.02289800
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;25;3;5.55611420
nbody;PARALLEL_BACK_STARPU;81920;2048;5;22;4;9.06794700
