State, UserThread27682, User Thread State, 2693.683630, 2693.696575, 0.012945, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.697252, 2693.715487, 0.018235, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.717624, 2693.730614, 0.012990, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.731156, 2693.744365, 0.013209, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.748552, 2693.762519, 0.013967, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.763092, 2693.775933, 0.012841, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.777802, 2693.791792, 0.013990, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.792341, 2693.812356, 0.020015, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.812950, 2693.827157, 0.014207, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.827706, 2693.851893, 0.024187, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.852624, 2693.878963, 0.026339, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.879587, 2693.895107, 0.015520, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.895613, 2693.914975, 0.019362, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.915514, 2693.934767, 0.019253, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.935321, 2693.948885, 0.013564, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.949399, 2693.963800, 0.014401, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.964297, 2693.978473, 0.014176, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.979159, 2693.993358, 0.014199, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2693.993836, 2694.007120, 0.013284, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.007687, 2694.021621, 0.013934, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.022111, 2694.040163, 0.018052, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.042255, 2694.056370, 0.014115, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.056938, 2694.070543, 0.013605, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.072480, 2694.085782, 0.013302, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.086314, 2694.099826, 0.013512, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.101739, 2694.115564, 0.013825, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.116122, 2694.129293, 0.013171, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.131300, 2694.150718, 0.019418, 0.000000, Submittings task
State, UserThread27682, User Thread State, 2694.151331, 2694.169947, 0.018616, 0.000000, Submittings task
