cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;27;1;13.63224800
nbody;PARALLEL_BACK_STARPU;131072;2048;5;0;2;57.33605400
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;28;0;18.71580000
cdf_solver;PARALLEL_BACK_STARPU;131072;4096;100;25;3;40.05504500
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;26;1;5.96264887
cdf_solver;PARALLEL_BACK_OPENMP;147456;2048;100;28;0;17.41282300
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;26;2;38.06049500
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;25;3;40.65850800
nbody;PARALLEL_BACK_STARPU;81920;2048;5;24;4;9.66322200
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;27;1;11.41352300
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;26;2;42.41226000
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.63744600
nbody;PARALLEL_BACK_STARPU;114688;2048;5;27;1;25.37033100
nbody;PARALLEL_BACK_STARPU;114688;2048;5;23;4;13.01047000
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.66581100
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;1;13.88910500
cdf_solver;PARALLEL_BACK_STARPU;131072;4096;100;27;1;10.19701900
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;26;2;42.64949300
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;24;4;46.18411500
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;24;4;6.38392019
hotspot;PARALLEL_BACK_OPENMP;12288;1024;5;28;0;13.16472912
nbody;PARALLEL_BACK_STARPU;81920;2048;5;26;2;9.32323700
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;25;3;44.61371300
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;0;2;5.00309610
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.75071200
nbody;PARALLEL_BACK_STARPU;65536;2048;5;0;2;14.53056500
hotspot;PARALLEL_BACK_STARPU;14336;1024;5;27;1;8.55720139
nbody;PARALLEL_BACK_STARPU;98304;2048;5;25;3;11.13289400
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;1;14.07786200
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;24;4;11.45134735
nbody;PARALLEL_BACK_OPENMP;131072;2048;5;28;0;41.71777800
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;10;3;5.69416400
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;0;4;9.14167976
nbody;PARALLEL_BACK_STARPU;65536;2048;5;27;1;7.24303800
nbody;PARALLEL_BACK_STARPU;81920;2048;5;26;2;9.50220400
cdf_solver;PARALLEL_BACK_OPENMP;98304;2048;100;28;0;11.62958200
hotspot;PARALLEL_BACK_STARPU;16384;1024;5;26;1;10.82878304
hotspot;PARALLEL_BACK_STARPU;12288;1024;5;28;0;15.15725803
hotspot;PARALLEL_BACK_STARPU;18432;1024;5;0;3;9.35478020
cdf_solver;PARALLEL_BACK_STARPU;163840;2048;100;0;3;9.61951000
cdf_solver;PARALLEL_BACK_STARPU;147456;2048;100;10;3;8.07626700
hotspot;PARALLEL_BACK_STARPU;20480;1024;5;0;2;13.60998344
nbody;PARALLEL_BACK_STARPU;81920;2048;5;0;3;14.75675800
cdf_solver;PARALLEL_BACK_STARPU;114688;2048;100;10;3;6.53343500
cdf_solver;PARALLEL_BACK_STARPU;98304;2048;100;0;1;14.04416100
