BENCH;backend;size;block_size;iterations;thread;gpus;time
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;14;4;7.00185200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;4;49.29254900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;0;25.09639168
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;3;7.21658993
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;16;4;11.06855700
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;22;3;7.69640500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;1;21.62759500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;2;8.61946201
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;3;6.66689110
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;1;50.04800800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;4;6.68827677
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;0;3;20.28429200
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;4;11.26667400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;26;1;22.22435600
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;2;18.92971800
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;3;7.66319100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;4;1;15.46664400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;0;107.21681976
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;2;8.24300289
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;1;16.75970800
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;2;21.62800800
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;6;2;22.67151300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;0;64.92055511
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;14;4;6.48692900
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;6;4;6.23306000
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;10;1;12.42862320
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;22;1;21.64134400
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;3;15.36972300
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;0;1;18.23642800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;6;3;6.97293711
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;1;12.54731700
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;4;12.71944523
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;3;6.87315798
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;3;19.18437100
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;28;3;78.10482200
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;1;10.75268900
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;2;0;259.41013600
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;26;3;17.23289680
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;2;9.11958700
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;4;11.32766300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;0;1;14.63882256
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;26;4;76.76650500
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;10;1;32.46225900
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;22;1;11.38367844
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;1;21.63174100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;8;0;64.87314400
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;2;4;6.83997297
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;20;4;9.61403100
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;18;4;11.19776800
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;14;3;14.53371300
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;4;2;8.73808098
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;16;4;6.41914320
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;2;2;9.95084300
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;1;30.03545800
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;22;4;7.59685802
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;14;0;47.46668243
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;4;7.18527603
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;24;3;7.57803822
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;8;4;6.91484022
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;12;0;43.25371500
cfd;PARALLEL_BACK_STARPU_dmda;131072;2048;100;24;0;18.42657500
hotspot;PARALLEL_BACK_STARPU_dmda;16384;1024;5;18;3;6.78885603
nbody;PARALLEL_BACK_STARPU_dmda;98304;2048;5;20;1;21.65185000
